Car_ID,Year,Make,Model,Total,ranking
36,2016,Subaru,WRX,74,24
33,2015,Subaru,Sti,68,29
21,2009,Subaru,WRX,62,37
83,2014,Honda,Accord,112,5
65,2009,Honda,Fit,106,7
31,2007,Honda,Fit,102,9
142,1993,Toyota,Supra,58,43
110,2011,Toyota,Camry,58,44
43,2011,Toyota,"4 Runner",54,47
113,2012,Acura,"Tsx sportwagon",116,4
112,2008,Acura,TL,110,6
50,2015,Acura,TLX,102,8
15,2014,Audi,S4,120,3
18,2015,Audi,S3,38,83
116,2008,Audi,A4,28,98
2,2016,Bmw,M2,24,108
172,2014,Bmw,4,22,117
111,2007,Bmw,328i,10,140
218,2010,Chevy,Camaro,64,33
170,2014,Chevy,Cruze,50,55
0,2015,Chevy,Camaro,0,166
216,2007,Chrystler,300,96,11
42,2001,Dodge,Viper,8,149
137,2017,Ford,"Focus rs",54,49
120,2014,Ford,"Focus st",30,94
219,2016,Ford,"Focus rs",26,104
30,2012,Hyundai,Celoster,66,30
38,2017,Hyundai,"Elantra sport",62,40
92,2017,Hyundai,"Elantra sport",30,95
128,2010,Infiniti,G37,128,1
122,2011,Infiniti,M37s,44,68
20,2009,Infiniti,G37,38,79
124,2015,Jeep,Wrangler,124,2
123,2006,Lexus,Sc430,66,31
222,2015,Lexus,Is250,40,74
190,1995,Lexus,Sc300,10,146
52,2007,Mazda,"Speed 3",48,59
78,2015,Mazda,6,36,86
141,1993,Mazda,Miata,26,105
25,2012,Mercedes,C250,78,22
84,2012,Mercedes,Cl63amg,70,28
17,2016,Mercedes,C43,34,88
91,2010,Mitsu,Lancer,102,10
140,1995,Mitsu,Evo8,44,63
176,2014,Mitsu,Lancer,40,76
228,2010,Nissan,370,92,12
161,2012,Nissan,370z,84,18
3,2011,Nissan,370,84,19
57,2015,Scion,Frs,80,21
235,2013,Scion,Frs,20,121
126,2010,Volkswagen,Eos,92,14
180,2011,Volkswagen,Gti,82,20
156,2014,Volkswagen,Gli,56,45
100,2006,Volvo,S60r,22,116
